count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
3.700000,0.020000,-5.356416,-4.354095,-3.233758,-0.549548,1.023670,-5.405027,-0.566511,1.007558,-5.451917,-0.632474,-0.525962,-0.568631,Walking
3.720000,0.020000,-4.772762,-5.168892,-3.545849,-0.536140,1.035924,-5.360737,-0.549548,1.023670,-5.405027,-0.554861,-0.589356,-0.587187,Walking
3.740000,0.020000,-4.033386,-5.805263,-3.787739,-0.524065,1.045661,-5.317930,-0.536140,1.035924,-5.360737,-0.472694,-0.641397,-0.604294,Walking
3.760000,0.020000,-3.640726,-6.583451,-4.124436,-0.518325,1.046728,-5.279155,-0.524065,1.045661,-5.317930,-0.400379,-0.676535,-0.618059,Walking
3.780000,0.020000,-3.254375,-6.910383,-4.261815,-0.515098,1.045211,-5.241333,-0.518325,1.046728,-5.279155,-0.348190,-0.696688,-0.627208,Walking
3.800000,0.020000,-3.233920,-7.248724,-4.357281,-0.516900,1.039035,-5.204884,-0.515098,1.045211,-5.241333,-0.320473,-0.707437,-0.629944,Walking
3.820000,0.020000,-3.326579,-7.504379,-4.520007,-0.521158,1.027973,-5.171638,-0.516900,1.039035,-5.204884,-0.317397,-0.708589,-0.630207,Walking
3.840000,0.020000,-3.469993,-7.583431,-4.639179,-0.526472,1.014265,-5.140509,-0.521158,1.027973,-5.171638,-0.326635,-0.703166,-0.631560,Walking
3.860000,0.020000,-4.018151,-7.713170,-5.058921,-0.537894,0.996058,-5.118276,-0.526472,1.014265,-5.140509,-0.351381,-0.693455,-0.629008,Walking
3.880000,0.020000,-4.474391,-7.647383,-5.128795,-0.550508,0.976586,-5.099323,-0.537894,0.996058,-5.118276,-0.391813,-0.680302,-0.619413,Walking
3.900000,0.020000,-5.001869,-7.587004,-5.190291,-0.563236,0.954907,-5.084995,-0.550508,0.976586,-5.099323,-0.445001,-0.662900,-0.602112,Walking
3.920000,0.020000,-5.874022,-7.354445,-5.093032,-0.578797,0.932767,-5.075077,-0.563236,0.954907,-5.084995,-0.519470,-0.636847,-0.569717,Walking
3.940000,0.020000,-6.810441,-6.941403,-4.802011,-0.595394,0.911587,-5.069400,-0.578797,0.932767,-5.075077,-0.609642,-0.599632,-0.518438,Walking
3.960000,0.020000,-7.930892,-6.135450,-4.298557,-0.614009,0.895214,-5.068271,-0.595394,0.911587,-5.069400,-0.713570,-0.541979,-0.443934,Walking
3.980000,0.020000,-8.879755,-5.145158,-3.527100,-0.631411,0.882524,-5.070301,-0.614009,0.895214,-5.068271,-0.816484,-0.459801,-0.349195,Walking
4.000000,0.020000,-9.576777,-3.970118,-2.733176,-0.646746,0.874398,-5.076304,-0.631411,0.882524,-5.070301,-0.898062,-0.363283,-0.248013,Walking
4.020000,0.020000,-10.062570,-2.767132,-1.829192,-0.660769,0.870131,-5.084060,-0.646746,0.874398,-5.076304,-0.954275,-0.260328,-0.146932,Walking
4.040000,0.020000,-10.280630,-1.628795,-0.963446,-0.672879,0.868441,-5.093468,-0.660769,0.870131,-5.084060,-0.986252,-0.157421,-0.050262,Walking
4.060000,0.020000,-10.248450,-0.606882,-0.191793,-0.682151,0.868679,-5.103921,-0.672879,0.868441,-5.093468,-0.997439,-0.063075,0.033730,Walking
4.080000,0.020000,-10.077500,0.221344,0.526662,-0.688458,0.869603,-5.112427,-0.682151,0.868679,-5.103921,-0.995120,0.017853,0.097039,Walking
4.100000,0.020000,-9.804873,0.834525,1.139735,-0.690792,0.869625,-5.115558,-0.688458,0.869603,-5.112427,-0.987584,0.084958,0.132139,Walking
4.120000,0.020000,-9.599793,1.297732,1.306545,-0.690585,0.868829,-5.118360,-0.690792,0.869625,-5.115558,-0.979625,0.136344,0.147466,Walking
4.140000,0.020000,-9.398736,1.690779,1.461062,-0.688098,0.867765,-5.120798,-0.690585,0.868829,-5.118360,-0.970751,0.177777,0.161360,Walking
4.160000,0.020000,-9.260158,1.844852,1.762841,-0.684483,0.863919,-5.119923,-0.688098,0.867765,-5.120798,-0.962377,0.207657,0.175241,Walking
4.180000,0.020000,-9.147947,2.027575,1.994983,-0.680159,0.859642,-5.117571,-0.684483,0.863919,-5.119923,-0.954553,0.228485,0.191373,Walking
4.200000,0.020000,-9.086113,2.167982,2.388102,-0.676392,0.854537,-5.111514,-0.680159,0.859642,-5.117571,-0.945410,0.247018,0.212563,Walking
4.220000,0.020000,-9.048446,2.299929,2.857605,-0.673873,0.849013,-5.100968,-0.676392,0.854537,-5.111514,-0.935206,0.262605,0.237548,Walking
4.240000,0.020000,-8.945755,2.415936,3.225903,-0.671409,0.843263,-5.088147,-0.673873,0.849013,-5.100968,-0.924462,0.275576,0.263491,Walking
4.260000,0.020000,-8.863228,2.505770,3.951265,-0.669553,0.836985,-5.065956,-0.671409,0.843263,-5.088147,-0.912949,0.287427,0.289673,Walking
4.280000,0.020000,-8.773231,2.579283,4.409366,-0.668167,0.830417,-5.039708,-0.669553,0.836985,-5.065956,-0.901377,0.296402,0.315697,Walking
4.300000,0.020000,-8.772500,2.548947,5.068824,-0.668669,0.823073,-5.005310,-0.668167,0.830417,-5.039708,-0.891682,0.297262,0.341378,Walking
4.320000,0.020000,-8.935208,2.442163,5.743358,-0.673588,0.815044,-4.961567,-0.668669,0.823073,-5.005310,-0.885755,0.289869,0.362510,Walking
4.340000,0.020000,-9.024649,2.312957,6.124796,-0.680762,0.806824,-4.913146,-0.673588,0.815044,-4.961567,-0.883379,0.277675,0.377543,Walking
